,city,lat,lon,max_temp,humidity,cloudiness,wind speed,country,date
0,Castro,-24.79,-50.01,44.58,76,5,3.06,BR,1593692519
1,Havelock,34.88,-76.9,75.99,94,1,3.4,US,1593692724
2,Klaksvík,62.23,-6.59,48.2,70,94,16.11,FO,1593692725
3,Vaini,-21.2,-175.2,71.6,68,75,112.74,TO,1593692478
4,George Town,5.41,100.34,86.0,79,20,4.7,MY,1593692486
5,Mataura,-46.19,168.86,39.0,83,3,3.0,NZ,1593692462
6,Faanui,-16.48,-151.75,80.13,80,74,22.88,PF,1593692846
7,Albany,42.6,-73.97,68.0,87,0,4.38,US,1593692490
8,Ribeira Grande,38.52,-28.7,69.8,68,20,5.82,PT,1593692847
9,Dingle,11.0,122.67,79.52,80,94,4.05,PH,1593692489
10,Los Algarrobos,8.5,-82.43,75.2,100,40,2.24,PA,1593692849
11,Barrow,71.29,-156.79,30.2,92,90,10.29,US,1593692405
12,Ushuaia,-54.8,-68.3,26.6,100,90,3.69,AR,1593692360
13,Ossora,59.24,163.07,47.12,87,33,8.5,RU,1593692850
14,Carberry,49.87,-99.36,62.6,100,20,10.29,CA,1593692851
15,Evensk,61.95,159.23,49.48,75,27,5.93,RU,1593692851
16,Leningradskiy,69.38,178.42,35.22,95,100,13.58,RU,1593692852
17,East London,-33.02,27.91,66.2,59,0,21.92,ZA,1593692743
18,Djibouti,11.5,42.5,95.0,56,1,10.29,DJ,1593692853
19,Kavaratti,10.57,72.64,84.16,80,100,18.16,IN,1593692854
20,Busselton,-33.65,115.33,54.0,68,66,4.05,AU,1593692467
21,Costa Rica,-23.42,-54.65,48.81,81,0,4.63,BR,1593692855
22,Ahipara,-35.17,173.17,52.09,70,24,7.74,NZ,1593692856
23,Bethel,41.37,-73.41,66.99,93,1,5.48,US,1593692470
24,Royan,45.63,-1.03,68.0,56,90,8.05,FR,1593692857
25,Butaritari,3.07,172.79,78.22,79,100,3.98,KI,1593692858
26,Tuktoyaktuk,69.45,-133.04,35.64,97,100,9.46,CA,1593692858
27,Cherskiy,68.75,161.3,41.54,80,100,13.33,RU,1593692859
28,Erenhot,43.65,111.98,80.31,30,79,7.25,CN,1593692860
29,Dundee,56.5,-2.97,57.2,71,40,3.36,GB,1593692860
30,Hobart,-42.88,147.33,46.99,70,20,8.05,AU,1593692346
31,Vostok,46.49,135.88,50.07,77,0,1.23,RU,1593692862
32,Jalcocotán,21.47,-105.12,62.6,93,75,2.77,MX,1593692863
33,Hermanus,-34.42,19.23,61.0,86,44,8.01,ZA,1593692502
34,Nikolskoye,59.7,30.79,69.01,68,75,4.47,RU,1593692863
35,Bluff,-46.6,168.33,39.0,83,4,3.0,NZ,1593692484
36,Washington,47.5,-120.5,57.2,58,1,9.17,US,1593692523
37,San Cristobal,7.77,-72.22,77.0,88,40,4.7,VE,1593692608
38,Zhigansk,66.77,123.37,65.07,55,88,20.11,RU,1593692865
39,Harper,4.38,-7.72,79.18,76,92,9.57,LR,1593692866
40,Nouadhibou,20.93,-17.03,73.4,78,0,17.22,MR,1593692867
41,Yaguajay,22.33,-79.24,78.91,86,83,7.65,CU,1593692867
42,Punta Arenas,-53.15,-70.92,32.0,97,90,4.03,CL,1593692455
43,Faya,18.39,42.45,93.2,45,40,17.22,SA,1593692868
44,Atuona,-9.8,-139.03,80.26,79,17,23.44,PF,1593692477
45,Jagdalpur,19.07,82.03,84.15,73,86,4.61,IN,1593692869
46,Isangel,-19.55,169.27,68.29,65,33,15.01,VU,1593692870
47,Jamestown,42.1,-79.24,68.0,82,1,3.09,US,1593692284
48,Lima,-12.04,-77.03,60.8,82,90,3.36,PE,1593692591
49,Touros,-5.2,-35.46,78.8,83,40,8.05,BR,1593692501
50,New Norfolk,-42.78,147.06,46.99,91,59,5.14,AU,1593692517
51,Rikitea,-23.12,-134.97,69.35,70,16,22.26,PF,1593692466
52,Saint-Philippe,-21.36,55.77,71.6,78,75,25.28,RE,1593692873
53,Kapaa,22.08,-159.32,78.8,78,20,11.41,US,1593692506
54,Puerto Baquerizo Moreno,-0.9,-89.6,69.24,87,89,11.32,EC,1593692600
55,Naruja,41.91,41.95,93.2,83,20,12.75,GE,1593692875
56,Puerto Ayora,-0.74,-90.35,69.01,93,98,5.01,EC,1593692458
57,Tasiilaq,65.61,-37.64,44.6,87,20,3.36,GL,1593692457
58,Tiksi,71.69,128.87,41.61,71,0,8.16,RU,1593692463
59,Cabo San Lucas,22.89,-109.91,77.0,89,1,1.01,MX,1593692249
60,Chapais,49.78,-74.85,71.6,78,75,6.93,CA,1593692707
61,Calabar,4.95,8.32,83.25,81,81,3.87,NG,1593692878
62,Avarua,-21.21,-159.78,77.0,83,100,12.75,CK,1593692878
63,Makakilo City,21.35,-158.09,77.0,83,75,3.36,US,1593692637
64,Khatanga,71.97,102.5,63.48,43,85,15.37,RU,1593692500
65,Aklavik,68.22,-135.01,41.0,93,90,5.82,CA,1593692880
66,Hobyo,5.35,48.53,84.16,58,58,32.14,SO,1593692880
67,Bograd,54.23,90.83,80.6,74,2,6.71,RU,1593692881
68,San Patricio,19.22,-104.7,79.09,67,100,3.53,MX,1593692394
69,Dikson,73.51,80.55,43.52,84,95,13.65,RU,1593692494
70,Rasrā,25.85,83.85,99.66,41,100,2.26,IN,1593692883
71,Mount Gambier,-37.83,140.77,42.8,100,40,9.17,AU,1593692884
72,Kavieng,-2.57,150.8,82.9,72,6,9.64,PG,1593692885
73,Alice Springs,-23.7,133.88,55.4,50,0,6.93,AU,1593692747
74,Hampton,37.03,-76.35,75.99,100,40,4.7,US,1593692871
75,Leh,34.17,77.58,69.22,19,0,8.19,IN,1593692886
76,Lufkin,31.34,-94.73,79.0,88,90,4.7,US,1593692887
77,Palekastro,35.2,26.25,81.75,61,0,14.76,GR,1593692888
